Time Energy_LWR_A	Energy_LWR_B	Energy_SFR_A	Energy_SFR_B	FreshFuel_LWR_A	FreshFuel_LWR_B	FreshFuel_SFR_A	FreshFuel_SFR_B	Separation_LWR	Separation_SFR_A	Separation_SFR_B	Cooling_LWR_A	Cooling_LWR_B	Cooling_SFR_A	Cooling_SFR_B	Separation_LWR_A	Separation_LWR_B	Separation_SFR_A	Separation_SFR_B	EnrichFeed	EnrichSWU
2172 0 0 425520 0 0 0 8.80308e+06 0 0 7.85506e+06 0 0 0 5.73479e+07 0 0 0 601920 0 0 0
2173 0 0 429480 0 0 0 8.91594e+06 0 0 7.9002e+06 0 0 0 5.79799e+07 0 0 0 616968 0 0 0
2174 0 0 433800 0 0 0 9.01375e+06 0 0 7.94534e+06 0 0 0 5.85367e+07 0 0 0 586872 0 0 0
2175 0 0 438120 0 0 0 9.07394e+06 0 0 8.0883e+06 0 0 0 5.90408e+07 0 0 0 624492 0 0 0
2176 0 0 442440 0 0 0 9.26957e+06 0 0 8.13344e+06 0 0 0 5.97406e+07 0 0 0 662112 0 0 0
2177 0 0 447120 0 0 0 9.38995e+06 0 0 8.23878e+06 0 0 0 6.04252e+07 0 0 0 601920 0 0 0
2178 0 0 451440 0 0 0 9.51034e+06 0 0 8.26135e+06 0 0 0 6.10497e+07 0 0 0 647064 0 0 0
2179 0 0 456120 0 0 0 9.48776e+06 68802 0 8.38926e+06 0 0 0 6.17645e+07 0 0 0 654588 0 0 0
2180 0 0 460080 720 0 0 8.87832e+06 745355 0 8.47202e+06 0 0 0 6.25019e+07 0 0 0 692208 0 0 0
2181 0 0 456840 8280 0 0 8.77298e+06 963228 0 8.50964e+06 0 0 0 6.31489e+07 22934 0 0 654588 0 0 0
2182 0 0 454320 15840 0 0 8.6827e+06 1.02056e+06 0 8.66012e+06 0 0 0 6.37509e+07 263741 0 0 684684 0 0 0
2183 0 0 451080 23760 0 0 8.75041e+06 1.23844e+06 0 8.80308e+06 0 0 0 6.41722e+07 527482 0 0 707256 0 0 0
2184 0 0 448560 31320 0 0 8.56984e+06 1.51364e+06 0 8.88584e+06 0 0 0 6.43076e+07 1.0435e+06 0 0 647064 0 0 0
2185 0 0 445680 39600 0 0 8.56984e+06 1.50218e+06 0 9.03632e+06 0 0 0 6.43001e+07 1.76592e+06 0 0 684684 0 0 0
2186 0 0 443160 47160 0 0 8.41183e+06 1.85765e+06 0 9.05137e+06 0 0 0 6.42399e+07 2.54567e+06 0 0 699732 0 0 0
2187 0 0 438840 56160 0 0 8.36669e+06 2.02966e+06 0 9.14166e+06 22934 0 0 6.39164e+07 3.5433e+06 0 0 669636 0 0 0
2188 0 0 435960 64080 0 0 8.26135e+06 2.06406e+06 0 9.07394e+06 240807 0 0 6.34273e+07 4.79321e+06 0 0 722304 0 0 0
2189 0 0 432360 72360 0 0 8.17106e+06 2.33927e+06 0 9.02128e+06 263741 0 0 6.29458e+07 5.82524e+06 0 0 744876 0 0 0
2190 0 0 429480 80640 0 0 8.1184e+06 2.78648e+06 0 8.97613e+06 516015 0 0 6.27652e+07 7.10954e+06 0 0 684684 0 0 0
2191 0 0 423720 91080 0 0 8.13344e+06 2.83235e+06 0 8.85575e+06 722421 0 0 6.22686e+07 8.38238e+06 0 0 744876 0 0 0
2192 0 0 418680 101160 0 0 7.99801e+06 3.19929e+06 0 8.8106e+06 779756 0 0 6.2073e+07 9.52908e+06 0 0 722304 0 0 0
2193 0 0 412920 112320 0 0 7.89268e+06 3.5433e+06 0 8.84822e+06 997629 0 0 6.18924e+07 1.08822e+07 0 0 759924 0 0 0
2194 0 0 406800 123480 0 0 7.69705e+06 3.64651e+06 0 8.60746e+06 1.27284e+06 0 0 6.15388e+07 1.23614e+07 0 0 744876 0 0 0
2195 0 0 400680 135000 0 0 7.61429e+06 3.85291e+06 0 8.67517e+06 1.27284e+06 0 0 6.11626e+07 1.36343e+07 0 0 774972 0 0 0
2196 0 0 395640 145440 0 0 7.51648e+06 4.23132e+06 0 8.66012e+06 1.54804e+06 0 0 6.07187e+07 1.52167e+07 0 0 805068 0 0 0
2197 0 0 389880 156600 0 0 7.366e+06 4.30012e+06 0 8.82565e+06 1.78885e+06 0 0 6.02296e+07 1.68336e+07 0 0 737352 0 0 0
2198 0 0 384480 167400 0 0 7.23056e+06 4.70147e+06 0 8.66765e+06 1.86912e+06 0 0 5.97029e+07 1.83128e+07 0 0 616968 0 0 0
2199 0 0 377640 179640 0 0 7.14028e+06 4.97668e+06 0 8.55479e+06 2.13286e+06 0 0 5.88302e+07 1.99755e+07 0 0 632016 0 0 0
2200 0 0 372240 190800 0 0 7.01237e+06 5.06841e+06 0 8.48707e+06 2.47687e+06 0 0 5.79875e+07 2.17529e+07 0 0 609444 0 0 0
2201 0 0 366120 202320 0 0 6.86941e+06 5.45829e+06 0 8.38174e+06 2.54567e+06 0 0 5.71072e+07 2.32436e+07 0 0 677160 0 0 0
2202 0 0 360000 214560 0 0 6.71893e+06 5.75643e+06 0 8.12592e+06 2.85528e+06 0 0 5.62946e+07 2.49866e+07 0 0 654588 0 0 0
2203 0 0 353880 226080 0 0 6.67379e+06 5.7679e+06 0 8.0883e+06 3.16489e+06 0 0 5.54594e+07 2.67869e+07 0 0 632016 0 0 0
2204 0 0 348480 237240 0 0 6.64369e+06 6.16925e+06 0 7.96039e+06 3.2681e+06 0 0 5.45866e+07 2.83235e+07 0 0 669636 0 0 0
2205 0 0 342360 249120 0 0 6.51578e+06 6.60499e+06 0 7.96792e+06 3.53184e+06 0 0 5.38417e+07 3.00894e+07 0 0 662112 0 0 0
2206 0 0 336240 261720 0 0 6.3954e+06 6.59352e+06 0 7.68953e+06 3.91025e+06 0 0 5.30893e+07 3.19585e+07 0 0 639540 0 0 0
2207 0 0 329760 273600 0 0 6.24492e+06 6.92607e+06 0 7.61429e+06 3.96758e+06 0 0 5.23294e+07 3.35066e+07 0 0 639540 0 0 0
2208 0 0 324360 285480 0 0 6.08692e+06 7.41915e+06 0 7.5541e+06 4.28866e+06 0 0 5.17125e+07 3.53298e+07 0 0 654588 0 0 0
2209 0 0 317160 298440 0 0 6.01168e+06 7.38475e+06 0 7.524e+06 4.6556e+06 0 0 5.08622e+07 3.72219e+07 0 0 677160 0 0 0
2210 0 0 311760 310320 0 0 5.82358e+06 7.82049e+06 0 7.3359e+06 4.70147e+06 0 0 5.02302e+07 3.88158e+07 0 0 609444 0 0 0
2211 0 0 304560 323640 0 0 5.71824e+06 7.0178e+06 0 7.29828e+06 5.03401e+06 0 0 4.94176e+07 4.0662e+07 0 0 511632 0 0 0
2212 0 0 299160 323640 0 0 5.56776e+06 6.62793e+06 0 7.13275e+06 5.40096e+06 0 0 4.86351e+07 4.26458e+07 0 0 511632 0 0 0
2213 0 0 291600 323640 0 0 5.46995e+06 6.97194e+06 0 7.02742e+06 5.45829e+06 0 0 4.76043e+07 4.38727e+07 0 0 496584 0 0 0
2214 0 0 286200 323640 0 0 5.2969e+06 7.0178e+06 0 6.83932e+06 5.79083e+06 0 0 4.67767e+07 4.53864e+07 0 0 534204 0 0 0
